CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00668285,MARTIN FOR FREEDOM,H,SIERRA VISTA,AZ,856351225,A,REP,,,H8AZ02201
C00669424,EVE REYES-AGUIRRE COMMITTEE TO ELECT,S,PHOENIX,AZ,85006,P,GRE,,,S8AZ00254
C00669572,MARILYN WILES FOR CONGRESS,H,TUCSON,AZ,85749,P,REP,,,H8AZ02219
C00670224,MORALES FOR CONGRESS,H,DOUGLAS,AZ,85607,P,REP,,,H8AZ02227
C00671875,YAHYA4CONGRESS,H,TUCSON,AZ,85741,P,DEM,,,H8AZ02235
C00672154,DELINA DISANTO FOR CONGRESS,H,CAVE CREEK,AZ,85331,P,DEM,,NONE,H8AZ04165
C00673194,BOB MUSSELWHITE FOR CONGRESS,H,LITCHFIELD PARK,AZ,853400053,P,DEM,,,H8AZ08232
C00673376,PAUL EVANS CANDIDATE COMMITTEE,H,GOODYEAR,AZ,85338,P,REP,,,H8AZ03175
C00673566,JETTE FOR US,H,PHOENIX,AZ,85080,P,DEM,,,H8AZ06111
C00673640,JETTE FOR US CONGRESS,H,PHOENIX,AZ,85080,A,DEM,,,H8AZ06111
C00673913,CHRISTOPHER MCCARTHY,P,WHITERIVER,AZ,85941,P,NON,,NONE,P00007351
C00675991,JETTE FOR SENATE,S,PHOENIX,AZ,85085,P,DEM,,,S8AZ00262
C00676015,HECTOR FOR ARIZONA,H,CHANDLER,AZ,85225,P,DEM,,,H8AZ09065
C00676122,BOBOLSENIN 2018,H,SURPRISE,AZ,85374,A,DEM,,,H8AZ08240
C00679522,KEMESHA THOMAS,P,MESA,AZ,85210,A,DEM,,NONE,
C00685834,RINGHAM FOR US SENATE,S,SUN LAKES,AZ,852480801,P,REP,,NONE,
C00686626,LIBERTY 2020,P,BISBEE,AZ,85603,P,GRE,,NONE,
C00687707,SHEILA FOR SENATE,S,FLAGSTAFF,AZ,860032882,P,DEM,,,S2AZ00273
C00689927,JOSUE LAROSE FOR UNITED STATES SENATE 2020,S,PHOENIX,AZ,85012,P,REP,,,S0AZ00343
C00691527,PHOENIX ARIZONA,P,PHOENIX,AZ,85017,A,TN,,NONE,
C00692038,STUDENTS AGAINST UNETHICAL STUDENT HOUSING PRACTICES,P,TEMPE,AZ,85281,A,UN,,NONE,
C00694091,EVA PUTZOVA FOR CONGRESS,H,FLAGSTAFF,AZ,86002,P,DEM,,NONE,H0AZ01358
C00694257,COMMITTEE FOR ROSE FOR PRESIDENT,P,FLAGSTAFF,AZ,86003,P,OTH,,NONE,P00009373
C00696526,MARK KELLY FOR SENATE,S,TUCSON,AZ,85726,P,DEM,,MARK KELLY VICTORY FUND,S0AZ00350
C00696930,JUSTINE WADSACK FOR CONGRESS,H,TUCSON,AZ,85716,P,REP,,NONE,H0AZ02174
C00698084,JOSEPH MORGAN FOR CONGRESS,H,TUCSON,AZ,85732,P,REP,,NONE,H0AZ02182
C00698373,MARTIN FOR FREEDOM,H,SIERRA VISTA,AZ,85635,P,REP,,NONE,H0AZ02190
C00699249,STEPHANIE RIMMER FOR CONGRESS,H,SCOTTSDALE,AZ,85260,P,DEM,,,H0AZ06068
C00699975,JUAN VASQUEZ MD FOR AZ-US SENATE 2020,S,ANTHEM,AZ,85086,P,DEM,,NONE,S0AZ00368
C00700138,COMMITTEE TO ELECT KIM RUFF,P,PEORIA,AZ,85382,P,LIB,,NONE,P00011023
C00702332,JOSH BARNETT FOR ARIZONA CONGRESS,H,PHOENIX,AZ,85027,P,REP,,NONE,H0AZ07082
C00703124,MUSCATO FOR CONGRESS,H,SUN CITY,AZ,85351,P,DEM,,NONE,H0AZ08072
C00705376,"PETER A HOVIS (I), AKA RJ HAMSTER FOR PRESIDENT IN 2020",P,SAN TAN VALLEY,AZ,851405537,P,IND,,,P00010363
