FIPStxt,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
37033,23719,1100542142,191,0.81,518715,0.05,953.7,0,0.0,0,0.0,0.0,191,0.81,518715,0.05,953.7,23528,99.19,1100023427,99.95,55.4,-1702154246.8407328,-211359211.61466387,-26976826.880951047,37772.89529245203,3319.049197091713,-1078.4215469337184,-633.8838347063959,-159.29765506387614,-26.208400628999147,6.620010556242639,4
37035,154358,1032683744,107595,69.7,326412897,31.61,853.7,101101,65.5,301193784,29.17,869.4,6494,4.21,25219113,2.44,666.9,46763,30.3,706270847,68.39,171.5,-2022478886.955683,292031838.9225873,7230986.442032209,-307951.48829100066,4277.353483779978,-7226.370741694454,155.82365645207668,111.99523839617436,28.6310875732458,71.13490833319736,4
37037,63505,1766851529,21641,34.08,44365840,2.51,1263.4,6513,10.26,12191186,0.69,1383.7,15128,23.82,32174654,1.82,1217.8,41864,65.92,1722485689,97.49,62.9,-790251750.2337829,-173172185.61203757,11446485.077985065,36126.02465182067,15401.090282144529,-2126.220177456093,470.39736571324414,239.88817224624074,393.5723695618962,-10.730147373594331,4
37039,27444,1179547136,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,27444,100.0,1179547136,100.0,60.3,-1590073019.3441825,-213192794.73788685,-27862216.50503583,39495.03399971822,8584.768041873767,-1346.7057476466966,-1376.744983438259,992.6216298956845,138.8932665629198,11.669865176654259,4
37041,14793,446702391,4790,32.38,7936084,1.78,1563.2,0,0.0,0,0.0,0.0,4790,32.38,7936084,1.78,1563.2,10003,67.62,438766307,98.22,59.0,-2631896409.95319,-193212469.63351372,-15679072.09129877,35616.467656429,-16199.716523534957,1487.220750749352,-28.486507950070948,-802.2182856680604,-88.19506959597157,23.327982972593567,4
37043,10587,556201310,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,10587,100.0,556201310,100.0,49.3,-2471551915.2572947,-202618918.07880726,-26077045.32062607,33646.220568367644,-13133.88979614617,-73.54161323539788,-1120.793452684791,979.2418637111044,229.20055259639526,12.06739614181883,4
37045,98078,1202408392,43360,44.21,111563333,9.28,1006.6,11171,11.39,25637374,2.13,1128.5,32189,32.82,85925959,7.15,970.2,54718,55.79,1090845059,90.72,129.9,-1634946875.4744296,-91095294.59801675,81482029.10855635,24329.967402602346,10197.763191861344,-12473.548708574492,343.9977736589051,306.12025554707714,279.6024287607723,32.76246429386506,4
37047,58098,2427578082,11274,19.41,33787784,1.39,864.2,0,0.0,0,0.0,0.0,11274,19.41,33787784,1.39,864.2,46824,80.59,2393790298,98.61,50.7,151357828.05871198,-202223484.30612475,11497746.16155174,40336.66151525996,20008.79472523915,-8555.681796997975,-772.8914966464002,-92.86051440212674,-130.05513484427496,-14.064309911070461,0
37049,103505,1836191667,74825,72.29,153128966,8.34,1265.6,50503,48.79,112434336,6.12,1163.4,24322,23.5,40694630,2.22,1548.0,28680,27.71,1683062701,91.66,44.1,-767077836.1441369,-6908557.57145393,22948437.741482675,-64717.07880470466,-8793.374281340035,5611.693403985806,397.6641488250772,112.61768858667084,434.3893057509584,-9.605898860769397,4
37051,319431,1689487711,276729,86.63,428401057,25.36,1673.0,276729,86.63,428401057,25.36,1673.0,0,0.0,0,0.0,0.0,42702,13.37,1261086654,74.64,87.7,-1163733354.5369284,459096200.7033578,-25586683.26026666,-228314.65000381466,8369.407138740213,-966.4763846652608,518.3150005432866,742.369208729695,-472.14891273422046,-17.83030376902831,4
37053,23547,678194049,397,1.69,1956183,0.29,525.6,0,0.0,0,0.0,0.0,397,1.69,1956183,0.29,525.6,23150,98.31,676237866,99.71,88.7,-2300396871.5793533,-202827516.52926067,-23940690.66969715,39285.49510045018,2373.13148037054,-1462.9821295816837,-919.475050447307,340.6058857727721,64.25392152037445,37.5820304280406,4
37055,33920,993052150,24097,71.04,73201017,7.37,852.6,0,0.0,0,0.0,0.0,24097,71.04,73201017,7.37,852.6,9823,28.96,919851133,92.63,27.7,-1904538368.7844338,-140398618.0659511,65688421.400035284,23775.102991413387,-43242.83912292709,-12616.824211110506,109.33308381685738,-193.40171737564344,80.3306244506617,-8.566070365996897,4
37057,162878,1431421129,85699,52.62,237079381,16.56,936.2,85699,52.62,237079381,16.56,936.2,0,0.0,0,0.0,0.0,77179,47.38,1194341748,83.44,167.4,-1397024041.608551,159369829.11347744,-26516004.26996258,-203161.14795101676,58804.46325513734,-3057.2299405994318,-672.1939140657363,892.4564220016789,-484.6874688394285,42.11457133008457,4
37059,41240,684029311,12253,29.71,37868161,5.54,838.0,7062,17.12,22425482,3.28,815.6,5191,12.59,15442679,2.26,870.6,28987,70.29,646161150,94.46,116.2,-2316924082.244608,-154452738.04037488,-6624537.686916066,14302.391859921836,3366.6476976002964,-3497.926391228909,-19.517234501447707,240.98300188140024,352.5261645386678,52.534938834320585,4
37061,58505,2113998631,7919,13.54,15231497,0.72,1346.6,0,0.0,0,0.0,0.0,7919,13.54,15231497,0.72,1346.6,50586,86.46,2098767134,99.28,62.4,-279214915.29067177,-214555401.36234856,-11183682.541957894,48958.97004596717,33374.02474019361,-2005.385180150349,-766.6650200359221,-484.83085528284226,-268.1498662495556,-3.601409762609931,0
37063,267587,740672748,252528,94.37,347624699,46.93,1881.5,252528,94.37,347624699,46.93,1881.5,0,0.0,0,0.0,0.0,15059,5.63,393048049,53.07,99.2,-2449880907.024387,346797887.4054413,-23573858.7822876,-138299.63049734148,-22008.826576307016,631.8419368222494,1141.2325922737984,788.9025185237754,-330.81180842049775,31.326037841039177,4
37065,56552,1308814792,30930,54.69,54234005,4.14,1477.1,17349,30.68,31749533,2.43,1415.3,13581,24.02,22484472,1.72,1564.4,25622,45.31,1254580787,95.86,52.9,-1444706195.1200745,-143532216.93204007,615481.1592886784,17010.61984693585,-2203.430930939092,2826.194985527757,764.5666490423672,-37.77645935288242,499.57864961004753,-1.6311891440122064,4
37067,350670,1057097245,324908,92.65,622888699,58.92,1351.0,324908,92.65,622888699,58.92,1351.0,0,0.0,0,0.0,0.0,25762,7.35,434208546,41.08,153.7,-2191824350.5259056,778959501.6732192,-22079495.241923336,-492360.07569666987,-26694.869725359156,1485.1089821233306,590.6434016712932,571.3444589173703,-426.33360537368276,53.70842875560785,4
